timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.316712,-1.227808,1.332728,131.460,-4.550,80.010
9.615,-0.372832,-1.203896,1.277584,133.070,-11.760,68.880
19.231,-0.432368,-1.167296,1.222440,129.220,-5.670,60.550
28.846,-0.489464,-1.123376,1.205848,119.420,9.870,56.910
38.462,-0.538752,-1.081408,1.221952,107.100,25.620,59.500
48.077,-0.580232,-1.045784,1.318088,95.970,38.150,67.900
57.692,-0.767624,-1.001376,1.458144,89.810,42.350,97.580
67.308,-0.874984,-1.000888,1.507432,87.360,33.460,120.260
76.923,-1.028704,-1.013088,1.571848,85.050,31.920,146.370
86.538,-1.213168,-1.009672,1.606984,80.010,38.500,177.170
96.154,-1.352248,-0.999912,1.691896,70.910,50.680,211.750
105.769,-1.476688,-0.977952,1.800232,59.570,60.620,246.330
115.385,-1.638704,-0.974048,1.897832,49.700,64.190,279.020
125.000,-2.161352,-0.901824,2.079856,44.310,63.000,345.380
134.615,-2.459520,-0.797392,2.075464,47.320,65.800,380.660
144.231,-2.773792,-0.642696,1.977376,50.750,64.610,412.790
153.846,-2.972896,-0.434808,1.893440,52.640,58.870,445.690
163.462,-2.962160,-0.181048,1.876848,56.000,55.160,471.030
173.077,-2.891888,0.013664,1.923208,67.480,51.450,480.690
182.692,-2.698152,0.200080,2.089616,96.250,34.370,468.790
192.308,-2.524424,0.386984,2.096448,146.720,16.030,431.130
201.923,-2.141832,0.692472,2.413648,278.460,39.340,288.050
211.538,-1.789496,0.617320,2.518080,354.060,84.280,193.340
221.154,-1.407392,0.751520,2.553704,424.830,148.750,86.310
230.769,-1.006744,0.937448,2.407304,480.200,209.020,-30.730
240.385,-0.584624,1.243424,2.217960,514.080,241.780,-158.060
250.000,0.179096,1.690432,1.842688,527.450,241.850,-448.210
259.615,0.340624,1.743624,1.826096,506.520,227.500,-598.570
269.231,0.467992,1.931992,1.908568,491.120,280.000,-734.510
278.846,0.644160,2.152080,2.187216,486.990,387.310,-853.720
288.462,0.796904,2.302384,2.570784,504.630,510.440,-961.380
298.077,0.840824,2.454640,2.876760,544.670,609.490,-1066.800
307.692,0.507032,2.651304,3.104656,590.380,654.850,-1310.470
317.308,-0.419680,2.488312,2.897744,593.320,444.010,-1440.460
326.923,-1.162904,2.079856,2.542968,509.250,185.780,-1544.970
336.538,-1.325408,1.602104,2.051552,387.660,-39.410,-1602.930
346.154,-1.426424,1.125816,1.273192,278.110,-123.130,-1588.720
355.769,-1.871968,2.115480,-0.087840,224.980,-47.530,-1483.300
365.385,-1.311256,2.327272,-0.258152,225.610,234.920,-1098.300
375.000,-0.824720,2.486360,-0.222528,229.950,344.120,-869.260
384.615,-0.377224,2.309216,0.190808,222.880,387.380,-630.490
394.231,0.006344,1.902224,0.735904,200.690,301.350,-411.250
403.846,0.189832,1.436184,1.094096,167.020,125.650,-232.540
413.462,0.146400,1.016992,1.085800,124.950,-24.920,-101.290
423.077,0.277672,0.432368,0.858392,71.330,-135.660,2.590
432.692,0.328912,0.272792,0.740296,-66.570,-116.200,-11.270
442.308,0.287920,0.173728,0.590968,-138.600,-55.020,-35.420
451.923,0.271328,0.158600,0.570472,-200.270,7.630,-47.950
461.538,0.415288,0.259616,0.659776,-245.350,40.600,-44.660
471.154,0.531920,0.345992,0.837896,-270.130,48.230,-30.730
480.769,0.656360,0.384056,1.033584,-271.250,32.550,-8.820
490.385,0.820328,0.354288,1.195600,-248.780,-2.520,15.260
500.000,0.861808,0.318176,1.287832,-207.410,-46.830,34.720
509.615,0.887672,0.203008,1.259040,-155.820,-93.170,45.710
519.231,0.794464,-0.043432,0.939400,-102.200,-138.600,34.090
528.846,0.718824,-0.167384,0.577792,-26.040,-127.120,15.960
538.462,0.362584,-0.421144,0.939888,-14.210,-98.420,-0.980
548.077,0.739808,-0.396256,0.570472,4.410,-94.500,0.210
557.692,0.817400,-0.240096,0.525088,11.130,-101.220,-4.760
567.308,0.719312,-0.294752,0.591456,9.240,-94.150,-10.850
576.923,0.779336,-0.276208,0.507520,7.910,-97.930,-8.960
586.538,0.813008,-0.225944,0.537776,4.970,-101.080,-3.920
