timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.974048,-0.211792,0.031232,14.070,-21.070,-1.820
9.615,-0.963800,-0.202032,0.024400,11.340,-23.660,-2.800
19.231,-0.942328,-0.193736,0.021960,8.330,-24.360,-3.640
28.846,-0.926224,-0.187392,0.021960,5.460,-22.820,-4.340
38.462,-0.922320,-0.182024,0.014152,2.800,-20.020,-4.690
48.077,-0.917928,-0.179096,0.005856,0.210,-16.450,-4.480
57.692,-0.917928,-0.173728,0.007808,-1.820,-12.950,-3.710
67.308,-0.938912,-0.149328,-0.000488,-2.730,-10.150,-2.310
76.923,-0.928176,-0.132736,-0.031232,-2.940,-8.540,-0.210
86.538,-0.924272,-0.115168,-0.057584,-3.290,-8.260,2.170
96.154,-0.919880,-0.093208,-0.085888,-3.500,-7.490,4.760
105.769,-0.913048,-0.055144,-0.123952,-3.990,-4.760,7.140
115.385,-0.910608,-0.006832,-0.187880,-5.320,-1.610,9.310
125.000,-0.901824,0.042944,-0.244000,-7.630,0.070,10.010
134.615,-0.893528,0.081008,-0.263520,-9.940,-0.070,8.540
144.231,-0.910608,0.136152,-0.314760,-9.730,-1.960,5.320
153.846,-0.965264,0.232776,-0.417240,-7.700,-5.320,2.590
163.462,-1.002840,0.308416,-0.553392,-5.530,-8.680,1.260
173.077,-1.049688,0.379664,-0.666120,-3.710,-10.850,2.940
182.692,-1.099952,0.459208,-0.776408,-1.890,-8.120,8.330
192.308,-1.127280,0.515328,-0.838872,0.210,2.940,16.520
201.923,-1.165832,0.571936,-0.830576,5.250,22.260,26.460
211.538,-1.227808,0.625616,-0.812520,14.910,44.940,36.820
221.154,-1.283928,0.700280,-0.837408,29.120,61.180,46.550
230.769,-1.302472,0.789584,-0.964288,46.550,63.770,53.830
240.385,-1.327848,0.874496,-1.089216,65.240,53.620,57.120
250.000,-1.344440,0.928664,-1.137528,85.610,41.230,56.980
259.615,-1.351272,0.963312,-1.087752,110.180,41.090,55.160
269.231,-1.352736,1.020896,-1.048224,140.630,58.030,52.640
278.846,-1.288808,1.138016,-0.979904,176.960,86.310,48.510
288.462,-1.338584,1.198528,-0.813984,266.210,137.620,35.910
298.077,-1.452288,1.216096,-0.548024,319.690,151.410,34.020
307.692,-1.598688,1.146800,-0.184464,377.650,161.070,40.390
317.308,-1.718736,1.041392,0.185928,434.070,170.240,54.250
326.923,-1.750944,0.943304,0.434320,480.060,172.970,69.930
336.538,-1.561600,0.944280,0.416752,504.490,162.890,78.750
346.154,-1.485472,0.993568,0.422120,500.150,139.020,72.030
355.769,-1.595760,0.887672,0.814472,475.860,122.920,55.580
365.385,-1.692384,0.685640,1.366400,450.520,135.660,42.630
375.000,-1.751432,0.537288,1.953464,434.140,155.400,35.420
384.615,-1.528416,0.164456,2.092544,412.580,103.950,22.680
394.231,-1.299544,-0.028792,2.080832,399.700,49.700,7.420
403.846,-1.098976,-0.173728,1.903688,384.020,-8.260,-16.170
413.462,-0.962336,-0.278648,1.763632,364.210,-55.160,-42.700
423.077,-0.974048,-0.322568,1.545984,340.060,-78.540,-61.460
432.692,-1.049688,-0.360144,1.249280,306.460,-79.310,-64.260
442.308,-1.090680,-0.388936,0.996008,259.910,-63.210,-50.260
451.923,-1.079944,-0.432856,0.771040,202.230,-35.700,-26.390
461.538,-0.995520,-0.461160,0.618784,138.880,-4.760,-3.150
471.154,-0.880352,-0.492392,0.569496,77.140,21.140,10.710
480.769,-0.800320,-0.495808,0.583160,24.570,37.170,13.440
490.385,-0.771040,-0.423584,0.555344,-12.810,41.160,8.260
500.000,-0.772992,-0.385520,0.494344,-44.940,26.040,-5.250
509.615,-0.765184,-0.346480,0.418216,-46.830,18.410,-9.590
519.231,-0.744688,-0.325496,0.339160,-43.750,11.620,-13.370
528.846,-0.715896,-0.314760,0.263032,-38.990,5.670,-17.500
538.462,-0.713944,-0.308904,0.199592,-32.830,0.000,-22.050
548.077,-0.725168,-0.318176,0.184464,-26.880,-4.690,-25.340
557.692,-0.732488,-0.331840,0.189832,-21.490,-4.970,-25.760
567.308,-0.751032,-0.328424,0.198128,-18.340,-2.100,-23.380
576.923,-0.786656,-0.325984,0.198128,-19.180,-1.750,-18.690
586.538,-0.821304,-0.333304,0.183488,-25.550,-4.900,-12.740
