# label=FS
IMU1,4254,40970105,-68,-59,2073,13,-18,-15
IMU1,4255,40980143,-71,-57,2072,16,-12,-21
IMU1,4256,40989667,-69,-57,2077,15,-14,-20
IMU1,4257,40999186,-70,-59,2075,13,-12,-20
IMU1,4258,41008716,-70,-56,2073,13,-14,-19
IMU1,4259,41018241,-74,-55,2073,10,-16,-17
IMU1,4260,41028285,-73,-57,2073,18,-13,-20
IMU1,4261,41037811,-72,-59,2071,14,-13,-19
IMU1,4262,41047342,-69,-58,2074,7,-17,-15
IMU1,4263,41056673,-69,-57,2074,16,-13,-20
IMU1,4264,41068425,-72,-59,2072,14,-18,-15
IMU1,4265,41077434,-72,-55,2068,14,-16,-18
IMU1,4266,41086453,-71,-56,2075,13,-16,-18
IMU1,4267,41095466,-72,-55,2073,13,-15,-18
IMU1,4268,41105000,-72,-58,2075,12,-17,-16
IMU1,4269,41114531,-73,-57,2073,13,-16,-16
IMU1,4270,41124068,-73,-56,2076,13,-12,-15
IMU1,4271,41133592,-76,-57,2074,7,-15,-8
IMU1,4272,41143262,-72,-55,2076,14,-12,-15
IMU1,4273,41153321,-72,-56,2074,12,-14,-19
IMU1,4274,41162856,-72,-58,2077,14,-12,-19
IMU1,4275,41172401,-78,-56,2074,11,-17,-9
IMU1,4276,41181740,-71,-60,2074,11,-16,-15
IMU1,4277,41191283,-69,-57,2072,11,-17,-15
IMU1,4278,41201338,-70,-58,2071,10,-16,-16
IMU1,4279,41210877,-70,-60,2075,14,-16,-19
IMU1,4280,41220424,-71,-55,2075,16,-14,-20
IMU1,4281,41229955,-71,-59,2073,12,-15,-18
IMU1,4282,41239493,-75,-57,2074,12,-13,-12
IMU1,4283,41249036,-76,-54,2074,8,-17,-2
IMU1,4284,41258698,-67,-59,2072,9,-14,-13
IMU1,4285,41268560,-72,-57,2075,12,-17,-16
IMU1,4286,41278092,-70,-56,2073,10,-18,-14
IMU1,4287,41287633,-70,-58,2075,17,-13,-20
IMU1,4288,41297178,-74,-53,2070,15,-13,-18
IMU1,4289,41306711,-76,-60,2072,16,-14,-15
IMU1,4290,41316772,-66,-56,2077,14,-17,-15
IMU1,4291,41326317,-73,-58,2073,12,-17,-17
IMU1,4292,41335862,-72,-57,2073,10,-17,-16
IMU1,4293,41345407,-70,-57,2074,15,-16,-17
IMU1,4294,41354942,-71,-54,2073,15,-13,-20
IMU1,4295,41364485,-72,-55,2073,12,-18,-16
IMU1,4296,41374018,-69,-53,2073,10,-15,-19
IMU1,4297,41384074,-70,-56,2073,14,-17,-16
IMU1,4298,41393607,-75,-54,2074,15,-11,-14
IMU1,4299,41403142,-74,-56,2075,7,-18,1
IMU1,4300,41412719,-71,-54,2074,9,-14,-13
IMU1,4301,41422589,-68,-58,2071,13,-15,-20
IMU1,4302,41432128,-73,-54,2076,14,-11,-19
IMU1,4303,41441673,-71,-55,2075,11,-18,-9
IMU1,4304,41451016,-75,-55,2074,11,-14,-9
IMU1,4305,41460894,-77,-54,2073,12,-13,-7
IMU1,4306,41470238,-58,-55,2072,8,-17,-10
IMU1,4307,41480118,2760,-764,2189,9,-33,-164
IMU1,4308,41489642,-382,-26,2021,52,0,-639
IMU1,4309,41499191,2234,-524,2141,39,-19,-735
IMU1,4310,41508936,791,-290,2016,58,-9,-1115
IMU1,4311,41518483,1164,-480,2227,50,-14,-1382
IMU1,4312,41528416,1474,-775,2028,72,-2,-1693
IMU1,4313,41538150,179,-327,2109,66,-8,-1963
IMU1,4314,41547679,-369,120,2002,75,-2,-2024
IMU1,4315,41557215,-1035,419,2111,68,-4,-1920
IMU1,4316,41566952,-1248,433,2054,66,-12,-1666
IMU1,4317,41576895,-4100,665,1908,81,23,-1292
IMU1,4318,41586730,1036,92,2153,35,25,-519
IMU1,4319,41596087,-105,370,2099,30,-16,-527
IMU1,4320,41605622,-460,142,2037,37,1,-574
IMU1,4321,41614845,-548,-98,2064,29,-9,-536
IMU1,4322,41624068,-884,-213,2035,23,-11,-446
IMU1,4323,41633671,-811,-227,2088,15,-12,-295
IMU1,4324,41643273,-866,-296,2035,17,-14,-136
IMU1,4325,41652886,-461,-328,2057,16,-18,20
IMU1,4326,41662713,-21,-192,2074,7,-20,92
IMU1,4327,41672165,143,-171,2080,13,-15,59
IMU1,4328,41681898,22,-102,2071,10,-17,7
IMU1,4329,41691761,-65,-61,2073,15,-12,-22
IMU1,4330,41701300,-66,-61,2072,13,-14,-21
IMU1,4331,41710839,-68,-62,2073,16,-14,-20
IMU1,4332,41720382,-66,-59,2069,12,-15,-19
IMU1,4333,41729920,-67,-62,2079,15,-14,-20
IMU1,4334,41739449,-66,-59,2070,9,-18,-17
IMU1,4335,41749312,-70,-61,2069,14,-15,-19
IMU1,4336,41758855,-58,-56,2083,16,-10,-19
IMU1,4337,41768392,175,-20,2098,20,-3,-26
IMU1,4338,41778354,526,-21,2121,25,-5,-81
IMU1,4339,41787814,139,23,2031,32,-3,-185
IMU1,4340,41797361,-155,74,2074,19,-12,-216
IMU1,4341,41807204,-36,121,2109,21,-15,-201
IMU1,4342,41816518,25,113,2096,35,-9,-204
IMU1,4343,41826066,142,160,2204,46,-2,-212
IMU1,4344,41835810,234,456,2275,90,30,-255
IMU1,4345,41845675,-261,617,2450,140,71,-202
IMU1,4346,41855316,113,531,2397,222,99,-137
IMU1,4347,41864877,-285,-350,2441,228,123,-187
IMU1,4348,41874796,-506,-200,3432,261,102,-214
IMU1,4349,41884729,-630,-143,3211,463,47,-137
IMU1,4350,41894457,-346,-292,2390,645,-43,-11
IMU1,4351,41904078,1,-499,1839,692,-180,97
IMU1,4352,41913313,79,-469,1916,655,-360,150
IMU1,4353,41922968,-110,-339,2559,628,-467,196
IMU1,4354,41932904,-508,-54,2920,705,-348,275
IMU1,4355,41942632,-1461,474,2839,861,-17,444
IMU1,4356,41952481,-930,592,1449,997,420,704
IMU1,4357,41962214,603,477,887,884,728,832
IMU1,4358,41971657,898,416,2110,690,822,657
IMU1,4359,41981295,279,410,1948,683,578,369
IMU1,4360,41990938,-164,499,1555,681,25,175
IMU1,4361,42000451,-333,475,1467,627,-728,69
IMU1,4362,42010067,-106,339,2069,522,-1626,-17
IMU1,4363,42019964,-140,374,2390,377,-2339,-105
IMU1,4364,42030088,-290,615,2333,272,-2656,-142
IMU1,4365,42040204,-148,649,2315,183,-2711,-141
IMU1,4366,42050319,-6,534,2291,113,-2693,-174
IMU1,4367,42060042,33,449,2203,-10,-2465,-239
IMU1,4368,42072511,8,462,2163,-243,-1937,-292
IMU1,4369,42082231,88,572,2208,-568,-1141,-332
IMU1,4370,42092156,184,707,2281,-943,-204,-386
IMU1,4371,42102081,241,926,2235,-1337,759,-471
IMU1,4372,42112117,293,1069,2146,-1761,1673,-602
IMU1,4373,42122531,491,1025,2166,-2211,2479,-794
IMU1,4374,42132970,76,824,2474,-2648,3103,-1293
IMU1,4375,42143721,-71,626,2636,-3300,3503,-1544
IMU1,4376,42154068,-49,505,2669,-3493,3384,-1792
IMU1,4377,42164398,-150,498,2440,-3638,3147,-2038
IMU1,4378,42174940,-324,554,2056,-3786,2830,-2244
IMU1,4379,42185484,-410,498,1628,-3940,2564,-2381
IMU1,4380,42196016,-451,296,1287,-4103,2499,-2450
IMU1,4381,42206537,-408,219,1134,-4235,2718,-2458
IMU1,4382,42217075,121,261,1392,-4266,3216,-2479
IMU1,4383,42227506,35,-659,559,-4180,3849,-2610
IMU1,4384,42237640,-98,-1416,-2,-4138,4401,-2768
IMU1,4385,42247772,-182,-1814,-289,-4128,4824,-2931
IMU1,4386,42259001,-133,-1996,-528,-3998,5303,-3255
IMU1,4387,42269729,-57,-1542,1847,-3881,5397,-3434
IMU1,4388,42280364,-398,-910,3434,-3163,5198,-3616
IMU1,4389,42291001,-1191,-840,2353,-2137,4797,-3708
IMU1,4390,42301858,-1978,-733,1909,-1361,4496,-3549
IMU1,4391,42312686,-1596,-619,1505,-721,4242,-3199
IMU1,4392,42323329,-1035,-308,846,-247,4005,-2906
IMU1,4393,42333739,-630,-280,578,58,3782,-2717
IMU1,4394,42343687,-442,-339,433,268,3570,-2602
IMU1,4395,42353804,-472,-197,-342,428,3383,-2529
IMU1,4396,42364549,-375,-204,-244,473,3193,-2379
IMU1,4397,42374790,584,-1082,1176,501,3139,-2308
IMU1,4398,42385241,3264,-5444,3021,816,2988,-2382
IMU1,4399,42395893,-1179,-7972,3516,1471,2902,-2490
IMU1,4400,42406851,-5139,-3948,922,2044,3134,-1738
IMU1,4401,42417580,-4161,-1565,-1105,1891,2893,-576
IMU1,4402,42428410,-2417,-920,-969,1313,2101,189
IMU1,4403,42438732,-2327,-1352,-576,782,787,518
IMU1,4404,42448865,-2577,-1835,-130,408,-175,771
IMU1,4405,42459068,-2396,-1905,533,225,-182,1017
IMU1,4406,42469400,-1299,-1197,1000,234,685,1127
IMU1,4407,42480348,-1382,-889,1106,502,3143,714
IMU1,4408,42490586,-1701,-679,938,665,4110,328
IMU1,4409,42500622,-2019,-878,765,815,4854,-53
IMU1,4410,42510547,-1965,-1027,666,940,5287,-390
IMU1,4411,42520877,-1867,-1001,519,1051,5423,-724
IMU1,4412,42531409,-1765,-849,381,1158,5432,-1059
IMU1,4413,42541942,-1872,-800,539,1280,5424,-1382
IMU1,4414,42552476,-2105,-847,460,1452,5382,-1633
IMU1,4415,42563006,-2275,-922,445,1634,5193,-1768
IMU1,4416,42573531,-2225,-872,510,1830,4832,-1800
IMU1,4417,42584071,-2120,-763,806,2064,4434,-1765
IMU1,4418,42594603,-2278,-297,630,2335,4161,-1568
IMU1,4419,42605149,-2029,-201,714,2722,3654,-1417
IMU1,4420,42615662,-1713,-211,864,2869,3327,-1329
IMU1,4421,42626185,-1643,-362,977,3013,3057,-1301
IMU1,4422,42636700,-1794,-512,1119,3146,2859,-1259
IMU1,4423,42647450,-1932,-616,1293,3268,2761,-1141
IMU1,4424,42658167,-1880,-706,1369,3375,2748,-959
IMU1,4425,42668692,-1683,-559,1397,3462,2818,-775
