timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.382592,-0.003416,-0.907192,134.400,-50.050,99.400
9.615,-0.407480,-0.030256,-0.809592,145.880,-69.020,89.180
19.231,-0.528016,-0.168360,-0.982832,150.220,-61.460,78.680
28.846,-0.574376,-0.238632,-0.949160,143.080,-54.390,76.580
38.462,-0.629520,-0.251808,-0.882304,135.380,-48.440,78.820
48.077,-0.611464,-0.157624,-0.804224,125.860,-31.990,82.390
57.692,-0.609024,-0.122976,-0.793976,116.690,-4.900,83.930
67.308,-0.597800,-0.124440,-0.668560,106.330,22.960,83.580
76.923,-0.567544,-0.130784,-0.610488,88.900,59.010,80.500
86.538,-0.552416,-0.151280,-0.620248,84.630,64.120,78.330
96.154,-0.539240,-0.135176,-0.587552,80.850,62.300,76.720
105.769,-0.526552,-0.120048,-0.549488,78.400,58.800,76.440
115.385,-0.519232,-0.111264,-0.511912,78.890,56.280,76.930
125.000,-0.518256,-0.111752,-0.490928,83.370,52.220,77.770
134.615,-0.528016,-0.111752,-0.383080,90.090,45.290,79.450
144.231,-0.548024,-0.178608,-0.403088,110.740,31.640,82.810
153.846,-0.649528,-0.210328,-0.466040,122.500,24.780,88.060
163.462,-0.707600,-0.224480,-0.423584,131.740,14.910,99.400
173.077,-0.665632,-0.200568,-0.413336,140.000,6.370,115.920
182.692,-0.630496,-0.168848,-0.340624,148.820,4.410,131.810
192.308,-0.644648,-0.208864,-0.353312,159.530,5.740,144.130
201.923,-0.662704,-0.283528,-0.394792,169.750,4.550,154.210
211.538,-0.650992,-0.296704,-0.429440,177.520,-0.700,162.960
221.154,-0.637816,-0.289384,-0.351848,183.260,-3.920,169.120
230.769,-0.714432,-0.349408,-0.328912,191.660,8.750,175.980
240.385,-0.725656,-0.368928,-0.288408,196.350,18.060,178.150
250.000,-0.836432,-0.416264,-0.185440,201.880,20.230,178.430
259.615,-0.789096,-0.475800,-0.121024,210.980,15.540,178.500
269.231,-0.907192,-0.554856,-0.174704,222.530,4.200,174.230
278.846,-0.918904,-0.547536,-0.112728,233.380,-15.820,169.960
288.462,-0.876936,-0.502640,-0.091256,245.770,-37.590,165.830
298.077,-0.815448,-0.512400,-0.034160,275.450,-68.390,148.890
307.692,-0.827160,-0.591944,-0.068320,291.480,-81.690,137.690
317.308,-0.853024,-0.630496,-0.117608,304.150,-90.650,127.190
326.923,-0.835944,-0.606096,-0.082960,311.710,-91.560,121.030
336.538,-0.829112,-0.601216,-0.061488,316.120,-81.200,117.320
346.154,-0.842288,-0.596824,0.025376,317.940,-64.050,115.360
355.769,-0.859368,-0.612928,0.157624,318.570,-44.730,114.450
365.385,-0.846680,-0.598776,0.203008,318.850,-6.090,112.140
375.000,-0.822280,-0.567056,0.239120,318.990,7.910,109.130
384.615,-0.834968,-0.523136,0.245952,319.130,16.940,103.390
394.231,-0.868152,-0.499712,0.252296,317.940,20.440,97.020
403.846,-0.867664,-0.500688,0.269376,315.140,20.860,91.700
413.462,-0.856928,-0.486536,0.283528,309.610,23.660,86.870
423.077,-0.839360,-0.456280,0.279624,300.790,34.300,82.670
432.692,-0.832528,-0.416752,0.306464,287.980,51.940,79.870
442.308,-0.911584,-0.448960,0.320128,255.150,84.000,78.750
451.923,-0.925736,-0.430904,0.365024,241.150,83.510,80.990
461.538,-0.932080,-0.403576,0.401136,230.720,73.500,83.300
471.154,-0.917440,-0.414312,0.428464,224.350,63.700,83.860
480.769,-0.941840,-0.424560,0.417728,220.920,54.880,82.320
490.385,-0.969656,-0.404552,0.380152,217.210,49.140,81.480
500.000,-1.030168,-0.390888,0.364536,210.210,51.030,82.670
509.615,-1.028704,-0.377712,0.307440,198.240,65.450,86.590
519.231,-1.073600,-0.407480,0.325008,161.700,110.040,95.410
528.846,-0.988200,-0.376736,0.305000,140.560,119.210,97.440
538.462,-0.977464,-0.305000,0.351848,120.750,117.740,95.270
548.077,-1.066280,-0.355264,0.431880,106.190,108.780,88.830
557.692,-1.012600,-0.360632,0.533384,99.960,88.620,82.880
567.308,-1.113616,-0.389424,0.490928,102.970,62.090,76.510
576.923,-1.136064,-0.383568,0.475800,112.210,32.620,72.030
586.538,-1.204872,-0.375272,0.449448,139.020,-13.650,69.510
