timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.870104,-0.714432,0.392840,7.210,-33.320,-15.540
9.615,-0.902800,-0.713456,0.392352,3.710,-34.440,-15.680
19.231,-0.910608,-0.749568,0.386496,-2.310,-34.860,-14.980
28.846,-0.913536,-0.785192,0.386008,-11.410,-38.010,-15.190
38.462,-0.914024,-0.793000,0.368440,-22.610,-45.990,-17.360
48.077,-0.938912,-0.806664,0.362584,-35.490,-55.720,-21.490
57.692,-0.983320,-0.834968,0.366000,-49.070,-61.460,-25.340
67.308,-1.057008,-0.850584,0.343064,-77.910,-60.200,-28.910
76.923,-1.093120,-0.857416,0.374784,-93.730,-57.260,-32.060
86.538,-1.093608,-0.874984,0.444080,-109.690,-56.560,-37.520
96.154,-1.075064,-0.856928,0.497272,-123.410,-62.090,-47.320
105.769,-1.060424,-0.804712,0.541680,-135.450,-75.110,-61.460
115.385,-1.045784,-0.762256,0.577792,-145.530,-93.450,-78.540
125.000,-1.002352,-0.655872,0.591456,-162.190,-129.780,-112.980
134.615,-0.977952,-0.610488,0.575352,-170.450,-142.800,-126.840
144.231,-0.963800,-0.555344,0.538752,-179.690,-152.950,-137.200
153.846,-0.928176,-0.503616,0.499712,-189.630,-160.790,-143.850
163.462,-0.881328,-0.468480,0.483608,-199.570,-165.760,-146.860
173.077,-0.753472,-0.399184,0.485072,-214.970,-166.460,-144.200
182.692,-0.685640,-0.352336,0.491904,-220.360,-165.970,-141.820
192.308,-0.654408,-0.310856,0.496296,-224.070,-168.070,-140.140
201.923,-0.645136,-0.264008,0.501176,-226.800,-173.460,-137.830
211.538,-0.619760,-0.165432,0.475800,-229.180,-182.420,-134.400
221.154,-0.658800,-0.132248,0.464576,-233.310,-212.660,-121.590
230.769,-0.679296,-0.120536,0.445056,-234.220,-233.870,-109.620
240.385,-0.682712,-0.115168,0.401624,-234.080,-256.200,-93.450
250.000,-0.671488,-0.103456,0.332328,-233.310,-276.500,-74.060
259.615,-0.646600,-0.094184,0.254736,-233.100,-291.550,-53.340
269.231,-0.650504,-0.089792,0.188856,-234.010,-300.370,-32.410
278.846,-0.730536,-0.092232,0.117608,-235.620,-307.860,10.990
288.462,-0.754936,-0.085888,0.084424,-241.220,-313.390,30.940
298.077,-0.801784,-0.088328,0.057096,-244.790,-322.560,46.970
307.692,-0.862296,-0.064904,-0.002928,-248.780,-334.670,60.690
317.308,-0.908168,-0.031720,-0.079544,-254.520,-347.200,73.360
326.923,-0.963800,-0.020984,-0.187392,-263.970,-353.430,85.820
336.538,-0.988200,-0.020008,-0.286944,-277.340,-348.320,98.420
346.154,-0.989176,-0.028792,-0.383568,-294.280,-330.400,109.620
355.769,-1.051152,-0.060024,-0.544120,-336.700,-261.940,123.970
365.385,-1.073112,-0.117608,-0.528992,-356.650,-224.140,128.800
375.000,-1.061888,-0.174704,-0.395768,-367.710,-195.300,132.510
384.615,-1.037976,-0.175192,-0.224968,-365.400,-172.970,133.420
394.231,-1.055056,-0.158600,-0.145912,-350.700,-150.360,130.410
403.846,-1.105808,-0.141520,-0.119560,-328.930,-128.800,125.160
413.462,-1.182912,-0.070272,-0.206424,-304.290,-105.070,111.440
423.077,-1.199992,-0.039040,-0.226920,-257.880,-102.900,103.320
432.692,-1.197552,0.005856,-0.228384,-237.300,-103.110,93.590
442.308,-1.191208,0.051240,-0.252784,-218.960,-103.810,82.390
451.923,-1.214144,0.100040,-0.293288,-203.490,-103.810,70.350
461.538,-1.237568,0.134688,-0.344040,-191.870,-102.410,59.360
471.154,-1.263920,0.160552,-0.375272,-183.680,-99.890,50.540
480.769,-1.260016,0.176656,-0.386984,-177.170,-94.780,39.830
490.385,-1.227320,0.207400,-0.372832,-165.620,-78.050,37.100
500.000,-1.187792,0.249368,-0.353800,-160.090,-66.710,32.270
509.615,-1.565504,0.155672,-0.354776,-153.230,-54.670,27.020
519.231,-1.612840,0.226432,-0.252784,-146.440,-53.060,39.130
528.846,-1.422032,0.354776,-0.267424,-135.240,-63.700,53.270
538.462,-1.472784,0.291336,-0.232776,-121.870,-71.960,59.360
548.077,-1.446432,0.265472,-0.279136,-108.010,-72.030,65.170
557.692,-1.360056,0.255224,-0.315248,-96.110,-67.270,69.860
567.308,-1.172176,0.201056,-0.283528,-78.190,-45.920,64.540
576.923,-1.145336,0.168360,-0.231312,-70.420,-30.660,54.600
586.538,-1.147776,0.161040,-0.163480,-63.770,-17.780,43.190
