timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-1.004792,-0.149328,1.108248,241.220,-39.760,-38.290
9.615,-1.033584,-0.240096,1.024312,142.380,-33.110,2.240
19.231,-0.956968,-0.292800,1.002352,86.800,-34.790,18.340
28.846,-0.858392,-0.312320,0.968192,30.660,-32.130,25.200
38.462,-0.791048,-0.323544,0.922808,-23.380,-23.800,22.680
48.077,-0.774944,-0.326472,0.873520,-73.010,-13.650,13.650
57.692,-0.806176,-0.323056,0.867664,-115.430,-4.130,3.430
67.308,-0.849608,-0.337696,0.884744,-148.190,4.410,-4.410
76.923,-0.883768,-0.333304,0.887184,-170.940,8.260,-8.820
86.538,-0.895968,-0.306464,0.870592,-185.360,4.690,-10.710
96.154,-0.914512,-0.263520,0.862784,-196.770,-14.210,-12.250
105.769,-0.912072,-0.217160,0.839848,-196.910,-24.360,-12.040
115.385,-0.914024,-0.145912,0.798368,-194.880,-31.430,-13.300
125.000,-0.916464,-0.095648,0.758352,-193.480,-36.680,-15.190
134.615,-0.915976,-0.063928,0.702720,-193.970,-42.070,-16.730
144.231,-0.949648,-0.019520,0.661728,-196.560,-49.280,-17.500
153.846,-0.987224,0.018056,0.611952,-200.830,-59.150,-16.310
163.462,-1.045784,0.063440,0.525576,-206.990,-69.300,-7.280
173.077,-1.060912,0.080520,0.487512,-224.490,-85.540,-1.820
182.692,-1.052128,0.093696,0.454328,-233.870,-94.150,3.500
192.308,-1.043832,0.101504,0.405528,-242.130,-100.800,6.160
201.923,-1.037976,0.117120,0.342576,-250.180,-105.700,7.980
211.538,-1.027240,0.130296,0.290360,-257.180,-108.430,9.940
221.154,-1.032608,0.134688,0.256688,-262.710,-108.850,12.670
230.769,-1.036024,0.152744,0.200568,-266.350,-108.780,16.030
240.385,-1.055544,0.160064,0.143960,-268.450,-110.460,19.950
250.000,-1.081408,0.180072,0.048312,-270.340,-113.960,29.680
259.615,-1.089704,0.189832,-0.009760,-273.210,-112.910,34.580
269.231,-1.095560,0.201056,-0.063928,-274.960,-110.600,38.850
278.846,-1.103856,0.206912,-0.116144,-276.220,-108.710,42.560
288.462,-1.104832,0.212280,-0.167384,-277.270,-107.100,45.290
298.077,-1.104832,0.212768,-0.182024,-277.760,-104.090,46.970
307.692,-1.111664,0.203984,-0.180560,-276.640,-98.770,47.600
317.308,-1.126304,0.215208,-0.165920,-270.900,-89.810,45.500
326.923,-1.132648,0.243512,-0.212280,-265.930,-88.410,41.300
336.538,-1.153632,0.245464,-0.283040,-261.030,-88.830,36.400
346.154,-1.187792,0.218136,-0.304512,-257.670,-88.550,31.920
355.769,-1.224880,0.175192,-0.250344,-252.840,-84.280,29.540
365.385,-1.220000,0.166896,-0.216184,-244.860,-73.780,29.050
375.000,-1.200968,0.179096,-0.224480,-234.710,-60.690,28.980
384.615,-1.204384,0.210328,-0.246440,-224.210,-49.980,27.370
394.231,-1.208776,0.223016,-0.225944,-203.630,-44.590,26.670
403.846,-1.205848,0.244976,-0.224480,-193.270,-50.610,25.620
413.462,-1.199016,0.270352,-0.263032,-183.470,-61.600,22.750
423.077,-1.197064,0.244000,-0.271816,-173.040,-75.530,19.040
432.692,-1.195112,0.192272,-0.238144,-161.770,-86.030,15.190
442.308,-1.177056,0.135664,-0.193248,-148.260,-88.270,12.250
451.923,-1.156072,0.095160,-0.172752,-132.090,-80.710,9.240
461.538,-1.132160,0.087352,-0.179096,-115.150,-66.500,5.600
471.154,-1.119960,0.103456,-0.181048,-84.280,-38.290,-3.080
480.769,-1.122400,0.097600,-0.181536,-72.100,-30.520,-7.210
490.385,-1.126304,0.090280,-0.166896,-62.090,-28.420,-10.220
500.000,-1.112640,0.074176,-0.151280,-53.620,-28.420,-12.880
509.615,-1.088240,0.053192,-0.135664,-46.340,-28.840,-15.400
519.231,-1.069208,0.023912,-0.112728,-40.110,-28.700,-18.410
528.846,-1.070184,-0.003416,-0.090768,-33.670,-27.860,-22.050
538.462,-1.071648,-0.040992,-0.075640,-27.090,-25.970,-25.480
548.077,-1.046272,-0.069784,-0.071736,-21.280,-22.330,-28.280
557.692,-1.017968,-0.074176,-0.060024,-16.940,-17.710,-30.870
567.308,-0.992104,-0.106384,0.007808,-13.090,-13.720,-36.190
576.923,-0.994056,-0.118096,0.029768,-1.540,-18.620,-38.010
586.538,-0.990152,-0.122488,0.048800,6.160,-27.300,-38.780
