timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.419192,-0.104920,-1.001376,153.580,7.700,113.050
9.615,-0.473848,-0.131760,-0.998936,163.590,6.300,116.970
19.231,-0.523136,-0.135176,-1.001864,173.040,5.110,121.870
28.846,-0.560712,-0.134200,-1.012112,182.140,5.180,125.650
38.462,-0.576816,-0.145424,-0.998936,189.840,6.650,128.660
48.077,-0.570960,-0.148352,-0.984784,196.770,9.100,130.970
57.692,-0.546072,-0.168360,-0.946720,203.490,11.970,131.950
67.308,-0.542656,-0.200080,-0.899384,210.840,16.030,132.370
76.923,-0.503128,-0.262056,-0.877912,223.580,30.590,137.900
86.538,-0.536312,-0.298168,-0.870592,227.220,39.620,140.350
96.154,-0.563152,-0.316224,-0.875960,228.060,47.670,143.500
105.769,-0.564128,-0.318176,-0.871080,224.980,57.190,149.170
115.385,-0.556808,-0.318664,-0.870104,218.680,72.380,156.450
125.000,-0.541680,-0.315248,-0.862784,208.670,92.540,164.570
134.615,-0.552416,-0.312808,-0.783240,195.650,113.680,180.670
144.231,-0.554368,-0.306952,-0.693448,166.040,155.330,190.050
153.846,-0.562176,-0.305000,-0.595848,153.090,174.370,199.080
163.462,-0.585600,-0.275232,-0.511912,144.130,188.020,207.060
173.077,-0.577792,-0.260592,-0.453352,138.390,194.950,214.830
182.692,-0.553392,-0.236192,-0.400160,134.680,197.680,222.880
192.308,-0.534848,-0.204472,-0.346968,132.370,200.340,230.790
201.923,-0.600728,-0.174216,-0.208376,132.230,204.120,248.500
211.538,-0.630984,-0.168848,-0.164944,135.100,201.600,260.330
221.154,-0.599752,-0.143960,-0.151768,138.110,196.490,271.530
230.769,-0.587552,-0.121024,-0.150304,140.280,193.130,279.580
240.385,-0.614880,-0.113704,-0.113216,140.630,192.640,286.650
250.000,-0.637328,-0.084912,-0.073688,140.350,194.250,294.910
259.615,-0.674416,-0.068808,-0.042456,139.300,196.420,304.430
269.231,-0.821304,-0.047824,0.050752,137.340,197.260,315.630
278.846,-0.851072,-0.035624,0.086376,132.790,183.540,344.540
288.462,-0.899384,-0.029280,0.111752,129.570,170.660,358.680
298.077,-0.955504,-0.025376,0.119072,126.070,154.560,372.890
307.692,-0.974048,-0.012200,0.114192,121.940,138.040,386.820
317.308,-0.970632,-0.005368,0.112240,116.480,125.720,398.790
326.923,-1.022360,0.020984,0.102480,109.270,118.510,407.820
336.538,-1.062376,0.028792,0.070760,100.100,112.210,414.050
346.154,-1.018456,0.054656,0.030256,89.040,103.110,415.520
355.769,-1.065792,0.117120,0.030256,77.140,93.100,410.200
365.385,-1.205848,0.180560,-0.010248,56.210,76.650,394.030
375.000,-1.230248,0.246928,-0.014152,47.250,68.670,384.160
384.615,-1.316136,0.305488,-0.022936,40.040,61.670,373.870
394.231,-1.364936,0.340136,0.040016,35.280,53.760,367.920
403.846,-1.349808,0.380640,-0.024400,35.140,47.250,366.310
413.462,-1.320040,0.456768,0.017568,35.560,41.720,365.750
423.077,-1.430816,0.490440,0.276696,45.920,30.940,362.460
432.692,-1.653344,0.493856,-0.355752,56.140,4.830,361.900
442.308,-1.455704,0.675392,-0.494832,51.450,-30.170,369.460
451.923,-1.301496,0.816424,-0.434320,40.530,-35.140,366.380
461.538,-1.371768,0.966728,-0.557784,27.860,-12.390,351.960
471.154,-1.608448,0.924760,-0.545096,-0.910,53.200,333.900
480.769,-1.655784,0.916952,-0.512400,-15.890,93.170,334.740
490.385,-1.708976,0.907680,-0.437248,-31.220,123.060,336.140
500.000,-1.756800,0.863272,-0.385032,-43.680,130.970,335.090
509.615,-1.801208,0.814960,-0.346968,-51.590,115.360,331.590
519.231,-1.805112,0.744688,-0.324032,-55.090,84.840,327.390
528.846,-1.790960,0.647088,-0.274744,-55.160,48.370,322.560
538.462,-1.682136,0.442616,-0.252296,-44.450,-22.890,309.890
548.077,-1.577216,0.364048,-0.253760,-35.210,-57.960,297.220
557.692,-1.460096,0.338672,-0.324032,-24.010,-96.110,277.270
567.308,-1.370792,0.343552,-0.422120,-13.860,-133.980,251.930
576.923,-1.277584,0.371368,-0.537288,-6.860,-163.520,224.000
586.538,-1.182912,0.398208,-0.630008,-3.220,-178.570,196.980
